ApprovedGeneSymbol	Symbol.V5	OldSymbol	coding_gene	protein_HOPE	protein_GBM
ALDH4A1	ALDH4A1	ALDH4A1	TRUE	NP_003739.2	NP_003739.2
ALDH5A1	ALDH5A1	ALDH5A1	TRUE	NP_001071.1	NP_001071.1
ALDH6A1	ALDH6A1	ALDH6A1	TRUE	NP_005580.1	NP_001265522.1
ALDH7A1	ALDH7A1	ALDH7A1	TRUE	NP_001173.2	NP_001173.2
ALDH9A1	ALDH9A1	ALDH9A1	TRUE	NP_000687.3	NP_000687.3
ALDOA	ALDOA	ALDOA	TRUE	NP_001230106.1	NP_001230106.1
ALDOB	ALDOB	ALDOB	TRUE	NP_000026.2	NP_000026.2
ALDOC	ALDOC	ALDOC	TRUE	NP_005156.1	NP_005156.1
ALG1	ALG1	ALG1	TRUE	NP_061982.3	NP_061982.3
ALG11	ALG11	ALG11	TRUE	NP_001004127.2	NP_001004127.2
ALG12	ALG12	ALG12	TRUE	NP_077010.1	NP_077010.1
ALG13	ALG13	ALG13	TRUE	NP_001093392.1	NP_001093392.1;NP_060936.1
ALG14	ALG14	ALG14	TRUE	NP_001292171.1	NP_659425.1
ALG2	ALG2	ALG2	TRUE	NP_149078.1	NP_149078.1
ALG3	ALG3	ALG3	TRUE	NP_005778.1	NP_005778.1
ALG5	ALG5	ALG5	TRUE	NP_037470.1	NP_037470.1
ALG6	ALG6	ALG6	TRUE	NP_037471.2	NP_037471.2
ALG8	ALG8	ALG8	TRUE	NP_001007028.1	NP_001007028.1
ALG9	ALG9	ALG9	TRUE	NP_001339346.1	NP_001339346.1
ALK	ALK	ALK	TRUE	NP_004295.2	NP_004295.2
ALKBH1	ALKBH1	ALKBH1	TRUE	NP_006011.2	NP_006011.2
ALKBH2	ALKBH2	ALKBH2	TRUE	NP_001001655.1	NP_001001655.1
ALKBH3	ALKBH3	ALKBH3	TRUE	NP_631917.1	NP_631917.1
ALKBH4	ALKBH4	ALKBH4	TRUE	NP_060091.1	NP_060091.1
ALKBH5	ALKBH5	ALKBH5	TRUE	NP_060228.3	NP_060228.3
ALKBH6	ALKBH6	ALKBH6	TRUE	NA	NP_001284630.1
ALKBH7	ALKBH7	ALKBH7	TRUE	NP_115682.1	NP_115682.1
ALKBH8	ALKBH8	ALKBH8	TRUE	NP_001287939.1	NP_620130.2
ALMS1	ALMS1	ALMS1	TRUE	NP_055935.4	NP_055935.4
ALOX12B	ALOX12B	ALOX12B	TRUE	NP_001130.1	NA
ALOX5	ALOX5	ALOX5	TRUE	NP_000689.1	NP_000689.1
ALOX5AP	ALOX5AP	ALOX5AP	TRUE	NP_001191335.1	NP_001191335.1
ALPK1	ALPK1	ALPK1	TRUE	NA	NP_001095876.1
ALPL	ALPL	ALPL	TRUE	NP_000469.3	NP_000469.3
ALS2	ALS2	ALS2	TRUE	NP_065970.2	NP_065970.2
ALYREF	ALYREF	ALYREF	TRUE	NP_005773.3	NP_005773.3
AMACR	AMACR	AMACR	TRUE	NP_001161067.1	NP_001161067.1
AMBP	AMBP	AMBP	TRUE	NP_001624.1	NP_001624.1
AMBRA1	AMBRA1	AMBRA1	TRUE	NP_001254711.1	NP_001254711.1
AMD1	AMD1	AMD1	TRUE	NP_001625.2	NP_001625.2
AMDHD2	AMDHD2	AMDHD2	TRUE	NP_001139287.1;NP_001317378.1	NP_001317378.1;NP_001139287.1
AMER2	AMER2	AMER2	TRUE	NP_689917.2	NP_689917.2;NP_954589.1
AMFR	AMFR	AMFR	TRUE	NP_001135.3	NP_001135.3
AMIGO1	AMIGO1	AMIGO1	TRUE	NP_065754.2	NP_065754.2
AMN1	AMN1	AMN1	TRUE	NP_001106873.1	NP_001106873.1
AMOT	AMOT	AMOT	TRUE	NP_001106962.1	NP_001106962.1
AMOTL1	AMOTL1	AMOTL1	TRUE	NP_001287936.1	NP_001287936.1
AMOTL2	AMOTL2	AMOTL2	TRUE	NP_001265612.1	NP_057285.3
AMPD2	AMPD2	AMPD2	TRUE	NP_001244289.1	NP_001244289.1
AMPD3	AMPD3	AMPD3	TRUE	NP_000471.1	NP_001020561.1
AMPH	AMPH	AMPH	TRUE	NP_001626.1	NP_001626.1
AMT	AMT	AMT	TRUE	NP_000472.2	NP_000472.2
AMZ2	AMZ2	AMZ2	TRUE	NP_001028741.1	NP_001028741.1
ANAPC1	ANAPC1	ANAPC1	TRUE	NP_073153.1	NP_073153.1
ANAPC10	ANAPC10	ANAPC10	TRUE	NP_001243638.1	NP_001243635.1
ANAPC11	ANAPC11	ANAPC11	TRUE	NA	NP_001002245.1
ANAPC13	ANAPC13	ANAPC13	TRUE	NA	NP_001229303.1
ANAPC16	ANAPC16	ANAPC16	TRUE	NP_001229475.1	NP_001229475.1
ANAPC2	ANAPC2	ANAPC2	TRUE	NP_037498.1	NP_037498.1
ANAPC4	ANAPC4	ANAPC4	TRUE	NP_001273685.1	NP_001273685.1
ANAPC5	ANAPC5	ANAPC5	TRUE	NP_001317418.1	NP_057321.2
ANAPC7	ANAPC7	ANAPC7	TRUE	NP_001131136.1	NP_057322.2
ANG	ANG	ANG	TRUE	NP_001091046.1	NP_001091046.1
ANGEL1	ANGEL1	ANGEL1	TRUE	NP_056120.2	NP_056120.2
ANGEL2	ANGEL2	ANGEL2	TRUE	NP_001287682.1	NP_001287682.1
ANGPT2	ANGPT2	ANGPT2	TRUE	NP_001112359.1	NP_001112359.1
ANGPTL2	ANGPTL2	ANGPTL2	TRUE	NP_036230.1	NP_036230.1
ANGPTL4	ANGPTL4	ANGPTL4	TRUE	NP_647475.1	NP_647475.1
ANK1	ANK1	ANK1	TRUE	NP_065208.2;NP_065209.2	NP_065208.2;NP_000028.3;NP_065210.2
ANK2	ANK2	ANK2	TRUE	NP_001139.3;NP_001341159.1;NP_001341166.1;NP_001341198.1;NP_001341190.1	NP_001139.3;NP_001341208.1;NP_001341170.1;NP_001341160.1;NP_001341154.1;NP_001341198.1;NP_001341166.1
ANK3	ANK3	ANK3	TRUE	NP_001191332.1	NP_001307803.1
ANKFY1	ANKFY1	ANKFY1	TRUE	NP_001316992.1;NP_057460.3	NP_001316992.1;NP_057460.3
ANKHD1	ANKHD1	ANKHD1	TRUE	NA	NP_060217.1;NP_078944.2
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3	TRUE	NP_065741.3	NP_065741.3
ANKIB1	ANKIB1	ANKIB1	TRUE	NP_061877.1	NP_061877.1
ANKLE2	ANKLE2	ANKLE2	TRUE	NP_055929.1	NP_055929.1
ANKMY2	ANKMY2	ANKMY2	TRUE	NP_064715.1	NP_064715.1
ANKRD10	ANKRD10	ANKRD10	TRUE	NP_060134.2	NP_060134.2
ANKRD11	ANKRD11	ANKRD11	TRUE	NP_001243111.1	NP_001243111.1
ANKRD12	ANKRD12	ANKRD12	TRUE	NP_001077094.1	NP_001077094.1
ANKRD13A	ANKRD13A	ANKRD13A	TRUE	NP_149112.1	NP_149112.1
ANKRD13D	ANKRD13D	ANKRD13D	TRUE	NP_997237.2	NP_997237.2
ANKRD16	ANKRD16	ANKRD16	TRUE	NP_001009941.1	NP_001009941.1
ANKRD17	ANKRD17	ANKRD17	TRUE	NP_056389.1	NP_056389.1
ANKRD22	ANKRD22	ANKRD22	TRUE	NP_653191.2	NP_653191.2
ANKRD24	ANKRD24	ANKRD24	TRUE	NP_597732.1	NP_597732.1
ANKRD27	ANKRD27	ANKRD27	TRUE	NP_115515.2	NP_115515.2
ANKRD28	ANKRD28	ANKRD28	TRUE	NP_056014.2	NP_056014.2
ANKRD29	ANKRD29	ANKRD29	TRUE	NP_775776.2	NP_775776.2
ANKRD34A	ANKRD34A	ANKRD34A	TRUE	NP_001034977.1	NP_001034977.1
ANKRD35	ANKRD35	ANKRD35	TRUE	NP_001267728.1	NP_001267728.1
ANKRD39	ANKRD39	ANKRD39	TRUE	NP_057550.3	NP_057550.3
ANKRD40	ANKRD40	ANKRD40	TRUE	NP_443087.1	NP_443087.1
ANKRD44	ANKRD44	ANKRD44	TRUE	NP_001182073.1	NP_001182073.1
ANKRD45	ANKRD45	ANKRD45	TRUE	NP_940895.1	NP_940895.1
ANKRD46	ANKRD46	ANKRD46	TRUE	NP_001257306.1	NP_001257306.1
ANKRD49	ANKRD49	ANKRD49	TRUE	NA	NP_060174.2
ANKRD50	ANKRD50	ANKRD50	TRUE	NP_065070.1	NP_065070.1
ANKRD52	ANKRD52	ANKRD52	TRUE	NP_775866.2	NP_775866.2
ANKRD54	ANKRD54	ANKRD54	TRUE	NP_620152.1	NP_620152.1
ANKRD65	ANKRD65	ANKRD65	TRUE	NP_001138682.1	NA
ANKS1A	ANKS1A	ANKS1A	TRUE	NP_056060.2	NP_056060.2
ANKS1B	ANKS1B	ANKS1B	TRUE	NP_001339114.1;NP_001339127.1	NP_001339116.1;NP_001339133.1;NP_001339114.1
ANKS3	ANKS3	ANKS3	TRUE	NP_001229858.1	NP_001229858.1
ANKS6	ANKS6	ANKS6	TRUE	NP_775822.3	NP_775822.3
ANKZF1	ANKZF1	ANKZF1	TRUE	NP_001035869.1	NP_001035869.1
ANLN	ANLN	ANLN	TRUE	NP_061155.2	NP_061155.2
ANO1	ANO1	ANO1	TRUE	NP_060513.5	NP_060513.5
ANO10	ANO10	ANO10	TRUE	NP_001333393.1	NP_001333393.1
ANO3	ANO3	ANO3	TRUE	NP_001300655.1	NP_001300655.1
ANO6	ANO6	ANO6	TRUE	NP_001020527.2	NP_001191732.1
ANO8	ANO8	ANO8	TRUE	NP_066010.1	NP_066010.1
ANOS1	ANOS1	ANOS1	TRUE	NP_000207.2	NP_000207.2
ANP32A	ANP32A	ANP32A	TRUE	NP_006296.1	NP_006296.1
ANP32B	ANP32B	ANP32B	TRUE	NP_006392.1	NP_006392.1
ANP32E	ANP32E	ANP32E	TRUE	NP_112182.1;NP_001267488.1	NP_112182.1;NP_001267488.1
ANPEP	ANPEP	ANPEP	TRUE	NP_001141.2	NP_001141.2
ANTXR1	ANTXR1	ANTXR1	TRUE	NP_115584.1	NP_115584.1
ANTXR2	ANTXR2	ANTXR2	TRUE	NP_001273709.1	NP_001273709.1
ANXA1	ANXA1	ANXA1	TRUE	NP_000691.1	NP_000691.1
ANXA11	ANXA11	ANXA11	TRUE	NP_001148.1	NP_001148.1
ANXA2	ANXA2	ANXA2	TRUE	NP_001002857.1	NP_001002857.1
ANXA3	ANXA3	ANXA3	TRUE	NP_005130.1	NP_005130.1
ANXA4	ANXA4	ANXA4	TRUE	NP_001144.1	NP_001144.1
ANXA5	ANXA5	ANXA5	TRUE	NP_001145.1	NP_001145.1
ANXA6	ANXA6	ANXA6	TRUE	NP_001146.2;NP_001350043.1	NP_001146.2;NP_001350043.1
ANXA7	ANXA7	ANXA7	TRUE	NP_001147.1	NP_001147.1
AOAH	AOAH	AOAH	TRUE	NP_001170978.1	NP_001170978.1
AOC3	AOC3	AOC3	TRUE	NP_003725.1	NP_003725.1
AOX1	AOX1	AOX1	TRUE	NP_001150.3	NP_001150.3
AP1AR	AP1AR	AP1AR	TRUE	NP_001121898.1	NP_061039.3
AP1B1	AP1B1	AP1B1	TRUE	NP_001118.3;NP_663782.2	NP_001118.3;NP_663782.2
AP1G1	AP1G1	AP1G1	TRUE	NP_001025178.1	NP_001025178.1
AP1G2	AP1G2	AP1G2	TRUE	NP_003908.1	NP_003908.1
AP1M1	AP1M1	AP1M1	TRUE	NP_115882.1	NP_001123996.1
AP1S1	AP1S1	AP1S1	TRUE	NP_001274.1	NP_001274.1
AP1S2	AP1S2	AP1S2	TRUE	NP_003907.3;NP_001259000.1	NP_003907.3;NP_001259000.1
AP2A1	AP2A1	AP2A1	TRUE	NP_055018.2	NP_055018.2
AP2A2	AP2A2	AP2A2	TRUE	NP_036437.1;NP_001229766.1	NP_001229766.1;NP_036437.1
AP2B1	AP2B1	AP2B1	TRUE	NP_001025177.1	NP_001025177.1
AP2M1	AP2M1	AP2M1	TRUE	NP_004059.2	NP_001020376.1
AP2S1	AP2S1	AP2S1	TRUE	NP_001288005.1	NP_001288005.1
AP3B1	AP3B1	AP3B1	TRUE	NP_003655.3	NP_003655.3
AP3B2	AP3B2	AP3B2	TRUE	NP_004635.2	NP_004635.2
AP3D1	AP3D1	AP3D1	TRUE	NP_001248755.1	NP_001248755.1
AP3M1	AP3M1	AP3M1	TRUE	NP_001307192.1	NP_001307192.1
AP3M2	AP3M2	AP3M2	TRUE	NP_001127768.1	NP_001127768.1
AP3S1	AP3S1	AP3S1	TRUE	NP_001275.1	NP_001275.1;NP_001305022.1
AP3S2	AP3S2	AP3S2	TRUE	NP_005820.1	NP_005820.1
AP4B1	AP4B1	AP4B1	TRUE	NP_001240781.1	NP_001240781.1
AP4E1	AP4E1	AP4E1	TRUE	NP_031373.2	NP_031373.2
AP4M1	AP4M1	AP4M1	TRUE	NP_001350600.1	NP_001350600.1
AP4S1	AP4S1	AP4S1	TRUE	NP_001121598.1	NP_001121598.1
AP5B1	AP5B1	AP5B1	TRUE	NP_612377.4	NP_612377.4
AP5M1	AP5M1	AP5M1	TRUE	NP_060699.3	NP_060699.3
AP5S1	AP5S1	AP5S1	TRUE	NP_001191375.1	NP_001191375.1
AP5Z1	AP5Z1	AP5Z1	TRUE	NP_055670.1	NP_055670.1
APAF1	APAF1	APAF1	TRUE	NP_863651.1	NP_863651.1
APBA1	APBA1	APBA1	TRUE	NP_001154.2	NP_001154.2
APBA2	APBA2	APBA2	TRUE	NP_001123886.1	NP_001340717.1
APBA3	APBA3	APBA3	TRUE	NP_004877.1	NP_004877.1
APBB1	APBB1	APBB1	TRUE	NP_001155.1	NP_001155.1
APBB1IP	APBB1IP	APBB1IP	TRUE	NP_061916.3	NP_061916.3
APBB2	APBB2	APBB2	TRUE	NP_001159522.1	NP_001159522.1
APC	APC	APC	TRUE	NP_000029.2	NP_000029.2
APC2	APC2	APC2	TRUE	NP_001338202.1	NP_005874.1
APCDD1	APCDD1	APCDD1	TRUE	NP_694545.1	NP_694545.1
APCS	APCS	APCS	TRUE	NP_001630.1	NP_001630.1
APEH	APEH	APEH	TRUE	NP_001631.3	NP_001631.3
APEX1	APEX1	APEX1	TRUE	NP_001231178.1	NP_001231178.1
APH1A	APH1A	APH1A	TRUE	NP_001071096.1	NP_001071096.1
APH1B	APH1B	APH1B	TRUE	NA	NP_001139118.1
API5	API5	API5	TRUE	NP_006586.1	NP_006586.1;NP_001136402.1
APIP	APIP	APIP	TRUE	NP_057041.2	NP_057041.2
APLF	APLF	APLF	TRUE	NA	NP_775816.1
APLNR	APLNR	APLNR	TRUE	NP_005152.1	NP_005152.1
APLP1	APLP1	APLP1	TRUE	NP_001019978.1	NP_005157.1;NP_001019978.1
APLP2	APLP2	APLP2	TRUE	NP_001315615.1	NP_001633.1
APMAP	APMAP	APMAP	TRUE	NP_065392.1	NP_065392.1
APOA1	APOA1	APOA1	TRUE	NP_000030.1	NP_000030.1
APOA2	APOA2	APOA2	TRUE	NP_001634.1	NP_001634.1
APOA4	APOA4	APOA4	TRUE	NP_000473.2	NP_000473.2
APOB	APOB	APOB	TRUE	NP_000375.2	NP_000375.2
APOBEC3C	APOBEC3C	APOBEC3C	TRUE	NP_055323.2	NP_055323.2
APOBEC3G	APOBEC3G	APOBEC3G	TRUE	NP_001336365.1	NP_001336365.1
APOBR	APOBR	APOBR	TRUE	NP_061160.3	NP_061160.3
APOC1	APOC1	APOC1	TRUE	NP_001307994.1	NP_001307994.1
APOC2	APOC2	APOC2	TRUE	NP_000474.2	NP_000474.2
APOC3	APOC3	APOC3	TRUE	NP_000031.1	NP_000031.1
APOC4	APOC4	APOC4	TRUE	NP_001637.1	NP_001637.1
APOD	APOD	APOD	TRUE	NP_001638.1	NP_001638.1
APOE	APOE	APOE	TRUE	NP_000032.1	NP_000032.1
APOF	APOF	APOF	TRUE	NP_001629.1	NP_001629.1
APOH	APOH	APOH	TRUE	NP_000033.2	NP_000033.2
APOL1	APOL1	APOL1	TRUE	NP_001130012.1	NP_001130012.1
APOL2	APOL2	APOL2	TRUE	NP_112092.2	NP_112092.2
APOL3	APOL3	APOL3	TRUE	NP_055164.1	NP_055164.1
APOM	APOM	APOM	TRUE	NP_001243098.1	NP_061974.2
APOO	APOO	APOO	TRUE	NP_077027.1	NP_077027.1
APOOL	APOOL	APOOL	TRUE	NP_940852.3	NP_940852.3
APP	APP	APP	TRUE	NP_000475.1	NP_001129488.1;NP_000475.1
APPBP2	APPBP2	APPBP2	TRUE	NP_001269405.1	NP_006371.2
APPL1	APPL1	APPL1	TRUE	NP_036228.1	NP_036228.1
APPL2	APPL2	APPL2	TRUE	NP_060641.2	NP_060641.2
APRT	APRT	APRT	TRUE	NP_000476.1	NP_000476.1
APTX	APTX	APTX	TRUE	NP_001182177.1	NP_001182177.1
AQP1	AQP1	AQP1	TRUE	NP_932766.1	NP_932766.1;NP_001316801.1
AQP4	AQP4	AQP4	TRUE	NP_001304313.1	NP_001304313.1
AQR	AQR	AQR	TRUE	NP_055506.1	NP_055506.1
ARAF	ARAF	ARAF	TRUE	NP_001645.1	NP_001645.1
ARAP1	ARAP1	ARAP1	TRUE	NP_001035207.1	NP_001035207.1
ARAP2	ARAP2	ARAP2	TRUE	NP_056045.2	NP_056045.2
ARAP3	ARAP3	ARAP3	TRUE	NP_071926.4	NP_071926.4
ARC	ARC	ARC	TRUE	NP_056008.1	NP_056008.1
ARCN1	ARCN1	ARCN1	TRUE	NP_001646.2	NP_001646.2
ARF1	ARF1	ARF1	TRUE	NP_001019397.1	NP_001019397.1
ARF3	ARF3	ARF3	TRUE	NP_001650.1	NP_001650.1
ARF4	ARF4	ARF4	TRUE	NP_001651.1	NP_001651.1
ARF5	ARF5	ARF5	TRUE	NP_001653.1	NP_001653.1
ARF6	ARF6	ARF6	TRUE	NP_001654.1	NP_001654.1
ARFGAP1	ARFGAP1	ARFGAP1	TRUE	NP_783202.1	NP_783202.1
ARFGAP2	ARFGAP2	ARFGAP2	TRUE	NP_115765.2	NP_115765.2
ARFGAP3	ARFGAP3	ARFGAP3	TRUE	NP_055385.3	NP_055385.3
ARFGEF1	ARFGEF1	ARFGEF1	TRUE	NP_006412.2	NP_006412.2
ARFGEF2	ARFGEF2	ARFGEF2	TRUE	NP_006411.2	NP_006411.2
ARFGEF3	ARFGEF3	ARFGEF3	TRUE	NP_065073.3	NP_065073.3
ARFIP1	ARFIP1	ARFIP1	TRUE	NP_001020766.1;NP_001020764.1	NP_001020766.1;NP_001020764.1
ARFIP2	ARFIP2	ARFIP2	TRUE	NP_001229783.1	NP_036534.1
ARFRP1	ARFRP1	ARFRP1	TRUE	NP_001254476.1	NP_001254476.1
ARG1	ARG1	ARG1	TRUE	NP_000036.2	NP_000036.2
ARG2	ARG2	ARG2	TRUE	NP_001163.1	NP_001163.1
ARGLU1	ARGLU1	ARGLU1	TRUE	NP_060481.3	NP_060481.3
ARHGAP1	ARHGAP1	ARHGAP1	TRUE	NP_004299.1	NP_004299.1
ARHGAP10	ARHGAP10	ARHGAP10	TRUE	NP_078881.3	NP_078881.3
ARHGAP12	ARHGAP12	ARHGAP12	TRUE	NP_060757.4;NP_001257625.1	NP_060757.4;NP_001257626.1
ARHGAP15	ARHGAP15	ARHGAP15	TRUE	NP_060930.3	NP_060930.3
ARHGAP17	ARHGAP17	ARHGAP17	TRUE	NP_001006635.1;NP_060524.4	NP_001006635.1
ARHGAP18	ARHGAP18	ARHGAP18	TRUE	NP_277050.2	NP_277050.2
ARHGAP21	ARHGAP21	ARHGAP21	TRUE	NP_065875.3	NP_065875.3
ARHGAP22	ARHGAP22	ARHGAP22	TRUE	NP_001242953.1	NP_001242953.1
ARHGAP23	ARHGAP23	ARHGAP23	TRUE	NP_001186346.1	NP_001186346.1
ARHGAP24	ARHGAP24	ARHGAP24	TRUE	NP_001020787.2	NP_001020787.2
ARHGAP25	ARHGAP25	ARHGAP25	TRUE	NP_001007232.2	NP_001007232.2
ARHGAP26	ARHGAP26	ARHGAP26	TRUE	NP_001129080.1	NP_001129080.1
ARHGAP27	ARHGAP27	ARHGAP27	TRUE	NP_001269219.1	NP_001269219.1
ARHGAP29	ARHGAP29	ARHGAP29	TRUE	NP_001315593.1	NP_001315593.1
ARHGAP30	ARHGAP30	ARHGAP30	TRUE	NP_001020769.1	NP_001020769.1
ARHGAP31	ARHGAP31	ARHGAP31	TRUE	NP_065805.2	NP_065805.2
ARHGAP32	ARHGAP32	ARHGAP32	TRUE	NP_001136157.1	NP_001136157.1
ARHGAP33	ARHGAP33	ARHGAP33	TRUE	NP_001166101.1	NP_443180.2
ARHGAP35	ARHGAP35	ARHGAP35	TRUE	NP_004482.4	NP_004482.4
ARHGAP39	ARHGAP39	ARHGAP39	TRUE	NP_001295136.1	NP_079527.1
ARHGAP4	ARHGAP4	ARHGAP4	TRUE	NP_001158213.1	NP_001158213.1
ARHGAP42	ARHGAP42	ARHGAP42	TRUE	NP_689645.2	NP_689645.2
ARHGAP44	ARHGAP44	ARHGAP44	TRUE	NP_001308095.1	NP_055674.4
ARHGAP45	ARHGAP45	ARHGAP45	TRUE	NP_036424.2	NP_036424.2
ARHGAP5	ARHGAP5	ARHGAP5	TRUE	NP_001025226.1	NP_001025226.1
ARHGAP6	ARHGAP6	ARHGAP6	TRUE	NP_001274171.1	NP_001274171.1
ARHGAP9	ARHGAP9	ARHGAP9	TRUE	NP_001073625.1	NP_001073625.1
ARHGDIA	ARHGDIA	ARHGDIA	TRUE	NP_001172006.1	NP_001172006.1
ARHGDIB	ARHGDIB	ARHGDIB	TRUE	NP_001166.3	NP_001166.3
ARHGEF1	ARHGEF1	ARHGEF1	TRUE	NP_945353.1	NP_945353.1
ARHGEF10	ARHGEF10	ARHGEF10	TRUE	NP_001295082.1	NP_055444.2
ARHGEF10L	ARHGEF10L	ARHGEF10L	TRUE	NP_001011722.2	NP_001011722.2
ARHGEF11	ARHGEF11	ARHGEF11	TRUE	NP_937879.1	NP_937879.1;NP_055599.1
ARHGEF12	ARHGEF12	ARHGEF12	TRUE	NP_001185594.1;NP_056128.1	NP_056128.1;NP_001185594.1
ARHGEF17	ARHGEF17	ARHGEF17	TRUE	NP_055601.2	NP_055601.2
ARHGEF18	ARHGEF18	ARHGEF18	TRUE	NP_001124427.1	NP_001124427.1
ARHGEF2	ARHGEF2	ARHGEF2	TRUE	NP_001155855.1	NP_001337039.1
ARHGEF25	ARHGEF25	ARHGEF25	TRUE	NP_001104740.1	NP_001104740.1
ARHGEF26	ARHGEF26	ARHGEF26	TRUE	NP_001238891.1	NP_001238891.1
ARHGEF28	ARHGEF28	ARHGEF28	TRUE	NP_001073948.2	NP_001073948.2
ARHGEF3	ARHGEF3	ARHGEF3	TRUE	NP_001122087.1	NP_001122087.1
ARHGEF37	ARHGEF37	ARHGEF37	TRUE	NP_001001669.2	NP_001001669.2
ARHGEF4	ARHGEF4	ARHGEF4	TRUE	NP_056135.2	NP_056135.2
ARHGEF40	ARHGEF40	ARHGEF40	TRUE	NP_060541.3	NP_060541.3
ARHGEF6	ARHGEF6	ARHGEF6	TRUE	NP_004831.1	NP_004831.1
ARHGEF7	ARHGEF7	ARHGEF7	TRUE	NP_663788.1;NP_001340975.1	NP_663788.1;NP_001340975.1
ARHGEF9	ARHGEF9	ARHGEF9	TRUE	NP_001166950.1	NP_001317424.1
ARID1A	ARID1A	ARID1A	TRUE	NP_006006.3	NP_006006.3
ARID1B	ARID1B	ARID1B	TRUE	NP_001333742.1	NP_001333742.1
ARID2	ARID2	ARID2	TRUE	NP_689854.2	NP_689854.2
ARID4A	ARID4A	ARID4A	TRUE	NP_002883.3	NP_002883.3
ARID4B	ARID4B	ARID4B	TRUE	NP_001193723.1	NP_001193723.1
ARIH1	ARIH1	ARIH1	TRUE	NP_005735.2	NP_005735.2
ARIH2	ARIH2	ARIH2	TRUE	NP_001304262.1	NP_001304262.1
ARL1	ARL1	ARL1	TRUE	NP_001168.1	NP_001168.1
ARL10	ARL10	ARL10	TRUE	NP_775935.1	NP_775935.1
ARL13B	ARL13B	ARL13B	TRUE	NP_001167621.1	NP_001167621.1
ARL14EP	ARL14EP	ARL14EP	TRUE	NP_689529.1	NP_689529.1
ARL15	ARL15	ARL15	TRUE	NP_061960.1	NP_061960.1
ARL2	ARL2	ARL2	TRUE	NP_001658.2	NP_001658.2
ARL2BP	ARL2BP	ARL2BP	TRUE	NP_036238.1	NP_036238.1
ARL3	ARL3	ARL3	TRUE	NP_004302.1	NP_004302.1
ARL4C	ARL4C	ARL4C	TRUE	NP_001269360.1	NP_001269360.1
ARL5A	ARL5A	ARL5A	TRUE	NA	NP_036229.1
ARL6	ARL6	ARL6	TRUE	NP_001265222.1	NP_001310442.1;NP_001265222.1
ARL6IP1	ARL6IP1	ARL6IP1	TRUE	NP_055976.1	NP_055976.1
ARL6IP4	ARL6IP4	ARL6IP4	TRUE	NP_061164.3	NP_001002251.2;NP_061164.3;NP_001265309.1
ARL6IP5	ARL6IP5	ARL6IP5	TRUE	NP_006398.1	NP_006398.1
ARL6IP6	ARL6IP6	ARL6IP6	TRUE	NP_689735.1	NP_689735.1
ARL8A	ARL8A	ARL8A	TRUE	NP_620150.1	NP_620150.1
ARL8B	ARL8B	ARL8B	TRUE	NP_060654.1	NP_060654.1
ARMC1	ARMC1	ARMC1	TRUE	NP_060590.1	NP_060590.1
ARMC10	ARMC10	ARMC10	TRUE	NP_001154482.1;NP_001154481.1	NP_001154482.1;NP_001154481.1
ARMC5	ARMC5	ARMC5	TRUE	NP_001098717.1	NP_001098717.1
ARMC6	ARMC6	ARMC6	TRUE	NP_001186125.1	NP_001186125.1
ARMC8	ARMC8	ARMC8	TRUE	NP_001350870.1	NP_001350870.1
ARMC9	ARMC9	ARMC9	TRUE	NP_001258395.1	NP_001258395.1
ARMCX1	ARMCX1	ARMCX1	TRUE	NP_057692.1	NP_057692.1
ARMCX2	ARMCX2	ARMCX2	TRUE	NP_001269160.1	NP_001269160.1
ARMCX3	ARMCX3	ARMCX3	TRUE	NP_057691.1	NP_057691.1
ARMCX4	ARMCX4	ARMCX4	TRUE	NP_001243084.2	NP_001243084.2
ARMCX5	ARMCX5	ARMCX5	TRUE	NP_001161950.1	NP_001161950.1
ARMCX6	ARMCX6	ARMCX6	TRUE	NP_001009584.1	NP_001009584.1
ARMH3	ARMH3	ARMH3	TRUE	NP_078817.2	NP_078817.2
ARMH4	ARMH4	ARMH4	TRUE	NP_001001872.2	NP_001001872.2
ARMT1	ARMT1	ARMT1	TRUE	NP_078849.1	NP_078849.1
ARNT	ARNT	ARNT	TRUE	NP_001659.1	NP_001659.1
ARNT2	ARNT2	ARNT2	TRUE	NP_055677.3	NP_055677.3
ARNTL	ARNTL	ARNTL	TRUE	NP_001025443.1	NP_001025443.1
ARPC1A	ARPC1A	ARPC1A	TRUE	NP_006400.2	NP_006400.2
ARPC1B	ARPC1B	ARPC1B	TRUE	NP_005711.1	NP_005711.1
ARPC2	ARPC2	ARPC2	TRUE	NP_005722.1	NP_005722.1
ARPC3	ARPC3	ARPC3	TRUE	NP_001265485.1	NP_001265485.1
ARPC4	ARPC4	ARPC4	TRUE	NP_001185709.1	NP_001185709.1
ARPC5	ARPC5	ARPC5	TRUE	NP_005708.1	NP_005708.1
ARPC5L	ARPC5L	ARPC5L	TRUE	NP_112240.1	NP_112240.1
ARPIN	ARPIN	ARPIN	TRUE	NP_872422.1	NP_872422.1
ARPP19	ARPP19	ARPP19	TRUE	NP_001293124.1	NP_001293120.1
ARPP21	ARPP21	ARPP21	TRUE	NP_057384.2;NP_001020239.1	NP_001254546.1;NP_001020239.1
ARRB1	ARRB1	ARRB1	TRUE	NP_064647.1	NP_064647.1;NP_004032.2
